놀거리평점,볼거리평점,먹거리평점,살거리평점,추천 여행지
6.4,3.2,5.3,2.3,무등산
6.5,3,5.5,1.8,무등산
7.7,3.8,6.7,2.2,무등산
7.7,2.6,6.9,2.3,무등산
6,2.2,5,1.5,무등산
6.9,3.2,5.7,2.3,무등산
5.6,2.8,4.9,2,무등산
7.7,2.8,6.7,2,무등산
6.3,2.7,4.9,1.8,무등산
6.7,3.3,5.7,2.1,무등산
7.2,3.2,6,1.8,무등산
6.2,2.8,4.8,1.8,무등산
6.1,3,4.9,1.8,무등산
6.4,2.8,5.6,2.1,무등산
7.2,3,5.8,1.6,무등산
7.4,2.8,6.1,1.9,무등산
7.9,3.8,6.4,2,무등산
6.4,2.8,5.6,2.2,무등산
6.3,2.8,5.1,1.5,무등산
6.1,2.6,5.6,1.4,무등산
7.7,3,6.1,2.3,무등산
6.3,3.4,5.6,2.4,무등산
6.4,3.1,5.5,1.8,무등산
6,3,4.8,1.8,무등산
6.9,3.1,5.4,2.1,무등산
6.7,3.1,5.6,2.4,무등산
6.9,3.1,5.1,2.3,무등산
5.8,2.7,5.1,1.9,무등산
6.8,3.2,5.9,2.3,무등산
6.7,3.3,5.7,2.5,무등산
6.7,3,5.2,2.3,무등산
6.3,2.5,5,1.9,무등산
6.5,3,5.2,2,무등산
6.2,3.4,5.4,2.3,무등산
5.9,3,5.1,1.8,무등산
